id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,roznica_od_wzorcowego
12295,Białystok,2024-09-05,20,20.9,3,70,59.2,0,1022.8,9.55
12600,Bielsko Biała,2024-09-05,20,20.6,4,120,38.5,0,1016.4,3.15
12235,Chojnice,2024-09-05,20,21,3,60,52.5,0,1020.9,7.65
12550,Częstochowa,2024-09-05,20,20.5,3,60,40.4,0,1017.5,4.25
12160,Elbląg,2024-09-05,20,20.5,3,70,56.4,0,1022.6,9.35
12155,Gdańsk,2024-09-05,20,22.7,4,60,63.2,0,1022.2,8.95
12300,Gorzów,2024-09-05,20,23.8,4,80,38.2,0,1017.5,4.25
12135,Hel,2024-09-05,20,21,5,70,82.6,0,1022.8,9.55
12500,Jelenia Góra,2024-09-05,20,21,5,80,46.4,0,1015.5,2.25
12435,Kalisz,2024-09-05,20,21.3,4,50,48.1,0,1017.7,4.45
12650,Kasprowy Wierch,2024-09-05,20,8.9,5,120,60.7,0,,
12560,Katowice,2024-09-05,20,18.3,2,60,49.4,0,1017,3.75
12185,Kętrzyn,2024-09-05,20,21.2,2,90,51.1,0,1023,9.75
12570,Kielce,2024-09-05,20,20.1,3,80,43.5,0,1018.7,5.45
12520,Kłodzko,2024-09-05,20,21.4,1,30,41.4,0,1015.3,2.05
12345,Koło,2024-09-05,20,22.1,3,80,45.2,0,1019,5.75
12100,Kołobrzeg,2024-09-05,20,18,4,90,72.6,0,1020.4,7.15
12105,Koszalin,2024-09-05,20,21.9,2,70,63.4,0,1020.8,7.55
12488,Kozienice,2024-09-05,20,15.5,1,140,64.3,0,1020.3,7.05
12566,Kraków,2024-09-05,20,18.4,3,30,51.5,0,1017.5,4.25
12670,Krosno,2024-09-05,20,18.8,2,120,43.4,0,1017.8,4.55
12415,Legnica,2024-09-05,20,20.3,3,80,53.4,0,1015.7,2.45
12690,Lesko,2024-09-05,20,17.4,2,100,53.5,0,1018.2,4.95
12418,Leszno,2024-09-05,20,23.1,5,80,41.3,0,1016.8,3.55
12125,Lębork,2024-09-05,20,19.8,3,60,82.5,0,1022.3,9.05
12495,Lublin,2024-09-05,20,20.8,2,90,46.4,0,1020,6.75
12120,Łeba,2024-09-05,20,20.2,4,70,82.5,0,1022.4,9.15
12465,Łódź,2024-09-05,20,19.7,3,70,45.2,0,1018.8,5.55
12280,Mikołajki,2024-09-05,20,20.8,2,70,58.4,0,1023.1,9.85
12270,Mława,2024-09-05,20,21.2,3,70,52.2,0,1021.3,8.05
12660,Nowy Sącz,2024-09-05,20,17.1,1,230,55.3,0,1017.5,4.25
12272,Olsztyn,2024-09-05,20,21.2,2,70,57.3,0,1022.3,9.05
12530,Opole,2024-09-05,20,22.1,3,70,38.3,0,1015.9,2.65
12285,Ostrołęka,2024-09-05,20,22.4,3,99,55.7,0,1021.8,8.55
12230,Piła,2024-09-05,20,21.6,2,50,47.2,0,1019.3,6.05
12001,Platforma,2024-09-05,20,21.9,10,70,74.6,0,1023.7,10.45
12360,Płock,2024-09-05,20,22.3,4,80,45.2,0,1019.7,6.45
12330,Poznań,2024-09-05,20,23.2,5,110,42.2,0,1018,4.75
12695,Przemyśl,2024-09-05,20,19.3,1,99,50.7,0.9,1018,4.75
12540,Racibórz,2024-09-05,20,22.9,2,110,39.3,0,1015.4,2.15
12210,Resko,2024-09-05,20,21.4,3,50,51.2,0,1019.8,6.55
12580,Rzeszów,2024-09-05,20,19.1,2,50,41.4,0.01,1018.3,5.05
12585,Sandomierz,2024-09-05,20,19.7,2,40,48.4,0.01,1018.9,5.65
12385,Siedlce,2024-09-05,20,17,0,0,65.5,0,1021.3,8.05
12310,Słubice,2024-09-05,20,24.3,4,90,37.3,0,1016.2,2.95
12469,Sulejów,2024-09-05,20,22.3,3,80,37.3,0,1018.6,5.35
12195,Suwałki,2024-09-05,20,18.3,3,60,64.4,0,1024.3,11.05
12205,Szczecin,2024-09-05,20,19.6,1,60,66.4,0,1018.4,5.15
12215,Szczecinek,2024-09-05,20,21.4,2,70,45.9,0,1020.5,7.25
12510,Śnieżka,2024-09-05,20,12.3,12,110,58.5,0,,
12200,Świnoujście,2024-09-05,20,21.4,7,80,77.5,0,1019.3,6.05
12575,Tarnów,2024-09-05,20,19.5,1,90,43.3,0,1017.3,4.05
12399,Terespol,2024-09-05,20,21.4,3,80,53.3,0,1021.6,8.35
12250,Toruń,2024-09-05,20,22.5,3,50,42.3,0,1020.1,6.85
12115,Ustka,2024-09-05,20,21.2,4,90,75.5,0,1021.8,8.55
12375,Warszawa,2024-09-05,20,20.4,3,80,51.3,0,1020.3,7.05
12455,Wieluń,2024-09-05,20,20.8,2,70,43.3,0,1017.4,4.15
12497,Włodawa,2024-09-05,20,18.9,3,50,62.4,0,1020.9,7.65
12424,Wrocław,2024-09-05,20,24,4,80,37.2,0,1015.9,2.65
12625,Zakopane,2024-09-05,20,13.3,1,120,66.6,0,,
12595,Zamość,2024-09-05,20,18.7,3,90,57.5,0,1019.8,6.55
12400,Zielona Góra,2024-09-05,20,23.2,5,80,40.2,0,1016.1,2.85
